,타이틀,링크,설명,날짜
0,"<b>코로나19</b> 초기증상, 후유증, 뇌질환, 경련, 운동장애",https://blog.naver.com/milky016?Redirect=Log&logNo=221988380666,<b>코로나19</b> 확진자 가운데 감염 50일 안에 증상이 없어질 확률은 20%에 불과했다 라고 전했습니다. 저 역시 코로나 걸려 죽는 사람도 적고 치료하고 퇴원한 사람들도 많고 하다보니 걸리지 않으려 노력은 하지만... ,20200603
1,"<b>코로나19</b> 마스크, 비닐장갑은 어떻게 관리되고 있을까?",https://blog.naver.com/mesns?Redirect=Log&logNo=221974450143,"코로나 이전에 마스크를 쓰는 것은 미세먼지 방지를 위한 목적이 더 강했지만, 지금은 자신만이 아닌 우리 사회 모두 <b>코로나19</b> 감염 예방을 위해 마스크를 쓰는 것을 권장하고 있습니다. 이렇게 마스크 쓰기가... ",20200522
2,<b>코로나19</b> 치료에 사용된 의약품 효과는?,https://blog.naver.com/nhicblog?Redirect=Log&logNo=221974165416,"<b>코로나19</b> 확산으로 전 세계가 어려움을 겪고 있다. 무엇보다 <b>코로나19</b> 바이러스 퇴치할 수 있는 치료제도 없고, 예방을 위한 백신도 없는 것으로 알려지며 ‘혹시나 감염되지 않을까’하는 두려움도 크다.... ",20200523
3,<b>코로나19</b> 생활 속 거리두기에 알맞은 파크골프,https://blog.naver.com/pride_gb?Redirect=Log&logNo=221981812102,"2020년 5월 6일부터 <b>코로나19</b> 생활 속 거리 두기로 전환되어 국민생활체육 시설 중 야외에서 할 수 있는... 있는데 <b>코로나19</b> 생활 속 거리두기에 알맞은 생활 속 야외 잔디 운동입니다. 36홀 A, B, C, D 코스를... ",20200528
4,<b>코로나19</b>긴급고용안정지원금 신청과정 영상입니다.,https://blog.naver.com/tlsdydaud3?Redirect=Log&logNo=221990021250,사진관을 운영하는데 코로나 사태로 매출이 많이 급감하게 되어 긴급고용안정지원금 신청을 오늘 했습니다. 역시나 인터넷으로 이것저것 신청한다는 것이 복잡하고 어렵네요. 그래서 제가 <b>코로나19</b>긴급고용... ,20200604
5,<b>코로나19</b> 생활속 거리두기 지침 : 에어컨 사용,https://blog.naver.com/banddy?Redirect=Log&logNo=221987663351,"이에 중앙재난안전대책본부(중대본)에서는 <b>코로나19</b> 생활 속 거리 두기 세부지침(2)을 2020.5.27일 수정발표 하였습니다. 업무9개분야, 일상13분야, 여가19개분야의 자세한 지침이 담겨져 있습니다. Ⅰ. 업... ",20200602
6,[6.12일] 광주시 <b>코로나19</b> 의심환자 정보,https://blog.naver.com/dodreamgj?Redirect=Log&logNo=221998412522,14(일) 11:00 <b>코로나19</b> 의심학생 2명에 대한 검체 채취 및 검사결과 현황 ○ <b>코로나19</b> 의심학생 인적사항... 남동구 17번째 확진자의 접촉자 5월 20일(5월 19일) 5 인천의료원 음압병상 입원 서산 09... www.gwangju.go.kr,20200612
7,[7대 기본생활수칙 SECRET] 맛이 안 느껴지는 것도 <b>코로나19</b>... ,https://blog.naver.com/daegu_news?Redirect=Log&logNo=221998589109,"독감인지 코로나인지 헷갈린다면? 발열과 두통같은 증상은 <b>코로나19</b>가 아닌 독감에서도 흔하게 나타나는 증상이라 내가 독감인지, 혹은 <b>코로나19</b>에 걸렸는지 헷갈릴 수 있을텐데요. 하지만 독감와... ",20200612
8,<b>코로나19</b> 극복 공공일자리사업 학교 방역 안전지킴이 참여자... ,https://blog.naver.com/suwonloves?Redirect=Log&logNo=222002474794,<b>코로나19</b>를 극복하고 지역 경제 회복 지원하기 위한 공공일자리사업 '수원희망 6000'의 하나로 학교 방역 안전지킴이입니다. 학교 방역 안전지킴이 참여자 모집 접수기간 : 2020. 6. 12. ~ 6. 19. 신청장소 : 주소지... ,20200616
9,"<b>코로나19</b> 속 A.T.A 까르네, 그리고 관세청의 대응",https://blog.naver.com/k_customs?Redirect=Log&logNo=222002701057,하지만 최근 <b>코로나19</b>의 유행으로 국가 간의 경계가 다시금 강해지며 물품과 사람의 국가 간 이동이... 그런데 사용 종료일이 얼마 남지 않은 때에 <b>코로나19</b>로 항공기 운항이 일시 중단돼 재수출기간을 넘길... ,20200616
